title,year_x,rotten tomatoes,netflix,hulu,prime video,disney+,movieId,genres,userId,rating
Pocahontas,1995,75/100,0,0,0,1,48.0,Animation|Children|Drama|Musical|Romance,103340.0,2.0
Caddyshack II,1988,56/100,0,1,0,0,4483.0,Comedy,24467.0,0.5
Casino Royale,2006,85/100,1,0,0,0,49272.0,Action|Adventure|Thriller,32598.0,5.0
Chicken Run,2000,76/100,0,0,1,0,3751.0,Animation|Children|Comedy,89863.0,4.0
Fantasia,1940,76/100,0,0,0,1,1282.0,Animation|Children|Fantasy|Musical,33947.0,4.0
Home Alone 3,1997,62/100,0,0,0,1,1707.0,Children|Comedy,63832.0,2.0
Dumbo,1941,75/100,0,0,0,1,1029.0,Animation|Children|Drama|Musical,90812.0,5.0
X-Men: The Last Stand,2006,78/100,0,0,0,1,45499.0,Action|Sci-Fi|Thriller,115434.0,5.0
Dances with Wolves,1990,80/100,1,0,0,0,590.0,Adventure|Drama|Western,14500.0,5.0
Taxi Driver,2015,41/100,1,0,0,0,111.0,Crime|Drama|Thriller,68882.0,3.0
Shrek,2001,85/100,0,1,0,0,4306.0,Adventure|Animation|Children|Comedy|Fantasy|Romance,87836.0,4.0
Hide and Seek,2000,50/100,0,0,1,0,31427.0,Horror|Mystery|Thriller,76536.0,2.0
Disclosure,2020,69/100,1,0,0,0,225.0,Drama|Thriller,115459.0,3.0
Rudy,1993,74/100,0,0,1,0,524.0,Drama,57633.0,3.0
Home Alone,1990,82/100,0,0,0,1,586.0,Children|Comedy,105490.0,1.0
WarGames,1983,76/100,0,0,1,0,6979.0,Drama|Sci-Fi|Thriller,94716.0,3.5
Dragonslayer,1981,65/100,0,0,1,0,5039.0,Action|Adventure|Fantasy,69323.0,5.0
Taxi Driver,2015,41/100,1,0,0,0,111.0,Crime|Drama|Thriller,81386.0,4.0
Fight Club,1999,93/100,0,0,1,0,2959.0,Action|Crime|Drama|Thriller,129635.0,5.0
Toy Story,1995,88/100,0,0,0,1,1.0,Adventure|Animation|Children|Comedy|Fantasy,34774.0,3.0
Blast from the Past,1999,70/100,0,1,0,0,2496.0,Comedy|Romance,15108.0,4.5
Star Trek VI: The Undiscovered Country,1991,73/100,0,1,0,0,1372.0,Action|Mystery|Sci-Fi,9034.0,3.0
Dances with Wolves,1990,80/100,1,0,0,0,590.0,Adventure|Drama|Western,63053.0,5.0
I.Q.,1994,63/100,0,0,1,0,252.0,Comedy|Romance,53346.0,3.5
Toy Story,1995,88/100,0,0,0,1,1.0,Adventure|Animation|Children|Comedy|Fantasy,17986.0,4.5
Scott Pilgrim vs. the World,2010,82/100,1,0,0,0,79702.0,Action|Comedy|Fantasy|Musical|Romance,72518.0,4.0
Star Wars: Episode II - Attack of the Clones,2002,78/100,0,0,0,1,5378.0,Action|Adventure|Sci-Fi|IMAX,86431.0,3.0
Whip It,2009,72/100,0,1,0,0,71518.0,Comedy|Drama,4759.0,4.5
Shrek 2,2004,81/100,0,1,0,0,8360.0,Adventure|Animation|Children|Comedy|Musical|Romance,18998.0,4.0
Mr. Magoo,1997,53/100,0,0,0,1,1731.0,Comedy,80097.0,2.5
Vertigo,1958,84/100,0,0,1,0,903.0,Drama|Mystery|Romance|Thriller,72893.0,4.0
Fantastic Mr. Fox,2009,81/100,0,0,0,1,72226.0,Adventure|Animation|Children|Comedy|Crime,55251.0,3.5
Double Jeopardy,1999,70/100,1,0,0,0,2881.0,Action|Crime|Drama|Thriller,54855.0,0.5
James and the Giant Peach,1996,70/100,0,0,0,1,661.0,Adventure|Animation|Children|Fantasy|Musical,640.0,3.0
Hollow Man,2000,68/100,0,1,0,0,3826.0,Horror|Sci-Fi|Thriller,51559.0,3.5
Cliffhanger,1993,71/100,0,1,0,0,434.0,Action|Adventure|Thriller,17078.0,2.5
Beetlejuice,1988,81/100,0,1,0,0,2174.0,Comedy|Fantasy,7539.0,4.0
Fun with Dick and Jane,2005,70/100,1,0,1,0,42011.0,Comedy|Crime,42416.0,3.0
Terminator 2: Judgment Day,1991,89/100,1,0,0,0,589.0,Action|Sci-Fi,59567.0,4.5
RoboCop,1987,80/100,0,1,0,0,2985.0,Action|Crime|Drama|Sci-Fi|Thriller,132606.0,3.5
Alice in Wonderland,1951,77/100,0,0,0,1,1032.0,Adventure|Animation|Children|Fantasy|Musical,101670.0,4.5
Star Wars: Episode I - The Phantom Menace,1999,79/100,0,0,0,1,2628.0,Action|Adventure|Sci-Fi,113428.0,5.0
Cliffhanger,1993,71/100,0,1,0,0,434.0,Action|Adventure|Thriller,80211.0,3.0
Resident Evil,2002,77/100,0,0,1,0,5219.0,Action|Horror|Sci-Fi|Thriller,75188.0,2.0
"Honey, I Shrunk the Kids",1989,72/100,0,0,0,1,2054.0,Adventure|Children|Comedy|Fantasy|Sci-Fi,63869.0,3.0
Star Wars: Episode III - Revenge of the Sith,2005,83/100,0,0,0,1,33493.0,Action|Adventure|Sci-Fi,130754.0,3.5
"Honey, I Blew Up the Kid",1992,61/100,0,0,0,1,2053.0,Children|Comedy|Sci-Fi,85199.0,0.5
Star Wars: Episode I - The Phantom Menace,1999,79/100,0,0,0,1,2628.0,Action|Adventure|Sci-Fi,33813.0,1.0
Star Trek: Generations,1994,71/100,0,1,0,0,329.0,Adventure|Drama|Sci-Fi,56459.0,4.0
E.T. the Extra-Terrestrial,1982,83/100,0,0,1,0,1097.0,Children|Drama|Sci-Fi,24594.0,3.0
Invasion of the Body Snatchers,1956,73/100,0,0,1,0,2664.0,Horror|Sci-Fi|Thriller,98467.0,2.0
Predator,1987,83/100,0,1,0,0,3527.0,Action|Sci-Fi|Thriller,7116.0,4.0
Charlotte's Web,1973,66/100,0,1,0,0,2137.0,Animation|Children,102068.0,2.5
Terminator 2: Judgment Day,1991,89/100,1,0,0,0,589.0,Action|Sci-Fi,127923.0,4.0
Avatar,2009,86/100,0,0,0,1,72998.0,Action|Adventure|Sci-Fi|IMAX,13964.0,4.5
Finding Nemo,2003,87/100,0,0,0,1,6377.0,Adventure|Animation|Children|Comedy,58257.0,4.5
Fight Club,1999,93/100,0,0,1,0,2959.0,Action|Crime|Drama|Thriller,115834.0,4.0
Deuce Bigalow: Male Gigolo,1999,66/100,0,0,1,0,3146.0,Comedy,60027.0,3.0
Ghost,2020,45/100,0,0,1,0,587.0,Comedy|Drama|Fantasy|Romance|Thriller,95076.0,3.0
Fantasia,1940,76/100,0,0,0,1,1282.0,Animation|Children|Fantasy|Musical,35167.0,5.0
Patton,1970,77/100,0,0,1,0,1272.0,Drama|War,23937.0,4.5
Rain Man,1988,83/100,1,0,0,0,1961.0,Drama,10248.0,4.0
Pirates of the Caribbean: Dead Man's Chest,2006,82/100,0,0,0,1,45722.0,Action|Adventure|Fantasy,65516.0,4.5
Perfume: The Story of a Murderer,2006,78/100,0,0,1,0,48997.0,Crime|Drama|Thriller,20639.0,4.0
Deuce Bigalow: European Gigolo,2005,62/100,0,0,1,0,34530.0,Comedy,104043.0,1.5
Starsky & Hutch,2004,70/100,1,0,0,0,7325.0,Action|Comedy|Crime|Thriller,17173.0,2.5
Remo Williams: The Adventure Begins,1985,62/100,0,0,1,0,6582.0,Action|Comedy|Crime|Thriller,57906.0,4.0
Ghost,2020,45/100,0,0,1,0,587.0,Comedy|Drama|Fantasy|Romance|Thriller,99045.0,5.0
Dances with Wolves,1990,80/100,1,0,0,0,590.0,Adventure|Drama|Western,116437.0,4.0
Cheaper by the Dozen,2003,69/100,0,0,0,1,7161.0,Children|Comedy,114302.0,3.5
Lady and the Tramp,1955,76/100,0,0,0,1,2080.0,Animation|Children|Comedy|Romance,123146.0,4.0
Phone Booth,2002,75/100,0,0,1,0,6281.0,Drama|Thriller,78632.0,3.5
Enemy at the Gates,2001,79/100,0,1,0,0,4223.0,Drama|War,3487.0,3.0
Ice Age,2002,82/100,0,1,0,0,5218.0,Adventure|Animation|Children|Comedy,42635.0,4.0
Splash,1984,69/100,0,0,0,1,2100.0,Comedy|Fantasy|Romance,109751.0,3.0
Stargate,1994,78/100,1,0,0,0,316.0,Action|Adventure|Sci-Fi,99823.0,3.0
Homeward Bound II: Lost in San Francisco,1996,62/100,0,0,0,1,609.0,Adventure|Children,36748.0,4.0
Rudy,1993,74/100,0,0,1,0,524.0,Drama,44781.0,5.0
Lemony Snicket's A Series of Unfortunate Events,2004,75/100,1,0,0,0,27706.0,Adventure|Children|Comedy|Fantasy,46545.0,3.0
Bad Boys,1983,66/100,0,0,1,0,145.0,Action|Comedy|Crime|Drama|Thriller,97881.0,3.0
Cliffhanger,1993,71/100,0,1,0,0,434.0,Action|Adventure|Thriller,73466.0,4.0
Passion Fish,1992,61/100,0,0,1,0,1187.0,Drama,78295.0,3.0
Oklahoma!,1955,65/100,0,0,0,1,7614.0,Musical|Romance|Western,79393.0,4.0
Toy Story,1995,88/100,0,0,0,1,1.0,Adventure|Animation|Children|Comedy|Fantasy,16248.0,3.0
Lemony Snicket's A Series of Unfortunate Events,2004,75/100,1,0,0,0,27706.0,Adventure|Children|Comedy|Fantasy,113755.0,4.0
Star Trek: Nemesis,2002,72/100,0,0,1,0,5944.0,Action|Drama|Sci-Fi|Thriller,128615.0,3.0
Rain Man,1988,83/100,1,0,0,0,1961.0,Drama,26304.0,3.5
Alien,1979,88/100,0,0,1,0,1214.0,Horror|Sci-Fi,45580.0,5.0
This Means War,2012,74/100,0,1,1,0,93326.0,Action|Comedy|Romance,92042.0,3.5
Chinatown,1974,82/100,1,0,0,0,1252.0,Crime|Film-Noir|Mystery|Thriller,118178.0,2.0
Road to Perdition,2002,81/100,1,0,0,0,5464.0,Crime|Drama,99371.0,4.5
Lady and the Tramp,1955,76/100,0,0,0,1,2080.0,Animation|Children|Comedy|Romance,45090.0,5.0
Searching for Bobby Fischer,1993,70/100,0,0,1,0,529.0,Drama,39165.0,4.0
Shrek,2001,85/100,0,1,0,0,4306.0,Adventure|Animation|Children|Comedy|Fantasy|Romance,89843.0,4.5
Bolt,2008,76/100,0,0,0,1,63859.0,Action|Adventure|Animation|Children|Comedy,80099.0,4.5
Philadelphia,1993,79/100,0,0,1,0,508.0,Drama,68641.0,3.0
Melancholia,2011,76/100,0,1,0,0,86320.0,Drama|Sci-Fi,35865.0,2.0
Treasure Island,1950,61/100,0,0,0,1,6405.0,Adventure|Children,84849.0,3.5
Toy Story,1995,88/100,0,0,0,1,1.0,Adventure|Animation|Children|Comedy|Fantasy,64846.0,4.0
Monty Python and the Holy Grail,1975,84/100,1,0,0,0,1136.0,Adventure|Comedy|Fantasy,99641.0,3.0
Priest,2011,67/100,0,0,1,0,299.0,Drama,123815.0,3.0
Up,2009,88/100,0,0,0,1,68954.0,Adventure|Animation|Children|Drama,121143.0,3.0
Lionheart,2018,49/100,1,0,1,0,26696.0,Action,35825.0,2.5
Sunshine,2007,79/100,0,1,0,0,52328.0,Adventure|Drama|Sci-Fi|Thriller,107477.0,4.0
Bend It Like Beckham,2002,71/100,0,0,0,1,6218.0,Comedy|Drama|Romance,63109.0,5.0
Catch Me If You Can,2002,87/100,0,1,0,0,5989.0,Crime|Drama,127757.0,4.5
Bad Company,1972,59/100,0,1,1,0,384.0,Action|Crime|Drama,88645.0,3.0
"Honey, I Shrunk the Kids",1989,72/100,0,0,0,1,2054.0,Adventure|Children|Comedy|Fantasy|Sci-Fi,9032.0,2.0
Star Trek: First Contact,1996,77/100,0,1,0,0,1356.0,Action|Adventure|Sci-Fi|Thriller,138244.0,4.0
28 Days Later,2002,83/100,0,1,0,0,6502.0,Action|Horror|Sci-Fi,87226.0,4.0
Bend It Like Beckham,2002,71/100,0,0,0,1,6218.0,Comedy|Drama|Romance,71397.0,3.0
Resident Evil: Apocalypse,2004,74/100,0,1,1,0,8861.0,Action|Horror|Sci-Fi|Thriller,90250.0,2.5
Angela's Ashes,1999,67/100,0,0,1,0,3179.0,Drama,19851.0,3.0
Ice Age,2002,82/100,0,1,0,0,5218.0,Adventure|Animation|Children|Comedy,79437.0,2.5
Aladdin and the King of Thieves,1996,67/100,0,0,0,1,1064.0,Animation|Children|Comedy|Fantasy|Musical|Romance,64969.0,5.0
Pinocchio,2019,72/100,0,0,1,1,596.0,Animation|Children|Fantasy|Musical,135936.0,4.5
Austin Powers: International Man of Mystery,1997,78/100,1,0,0,0,1517.0,Action|Adventure|Comedy,122199.0,5.0
Aladdin,1992,84/100,0,0,0,1,588.0,Adventure|Animation|Children|Comedy|Musical,125722.0,4.0
Terminator 2: Judgment Day,1991,89/100,1,0,0,0,589.0,Action|Sci-Fi,113762.0,4.0
Jesus Camp,2006,67/100,0,1,0,0,47999.0,Documentary|Drama,106735.0,3.0
Ulee's Gold,1997,58/100,0,0,1,0,1633.0,Drama,58218.0,5.0
Home Alone,1990,82/100,0,0,0,1,586.0,Children|Comedy,17096.0,3.0
Monty Python and the Holy Grail,1975,84/100,1,0,0,0,1136.0,Adventure|Comedy|Fantasy,45765.0,5.0
Rear Window,1954,85/100,0,0,1,0,904.0,Mystery|Thriller,126946.0,3.5
Barefoot in the Park,1967,65/100,0,0,1,0,2870.0,Comedy,13197.0,2.0
Sister Act,1992,71/100,0,0,0,1,3247.0,Comedy|Crime,100694.0,2.0
Love Actually,2003,82/100,1,0,0,0,6942.0,Comedy|Drama|Romance,14546.0,3.5
Dead Man on Campus,1998,60/100,0,0,1,0,2169.0,Comedy,117664.0,3.5
Sky Captain and the World of Tomorrow,2004,68/100,0,0,1,0,8865.0,Action|Adventure|Sci-Fi,69946.0,4.0
Star Trek IV: The Voyage Home,1986,74/100,0,1,0,0,1376.0,Adventure|Comedy|Sci-Fi,84444.0,4.5
G.I. Joe: The Rise of Cobra,2009,72/100,1,0,0,0,70336.0,Action|Adventure|Sci-Fi|Thriller,91225.0,2.0
Casino Royale,2006,85/100,1,0,0,0,49272.0,Action|Adventure|Thriller,118542.0,4.5
Aladdin,1992,84/100,0,0,0,1,588.0,Adventure|Animation|Children|Comedy|Musical,104222.0,5.0
X-Men: The Last Stand,2006,78/100,0,0,0,1,45499.0,Action|Sci-Fi|Thriller,22535.0,4.0
Aladdin,1992,84/100,0,0,0,1,588.0,Adventure|Animation|Children|Comedy|Musical,32604.0,3.0
Mr. Holland's Opus,1995,69/100,0,0,0,1,62.0,Drama,52162.0,3.0
Sleeping Beauty,1959,75/100,0,0,0,1,2096.0,Animation|Children|Musical,76545.0,3.0
Philadelphia,1993,79/100,0,0,1,0,508.0,Drama,116544.0,4.0
Predator,1987,83/100,0,1,0,0,3527.0,Action|Sci-Fi|Thriller,60243.0,3.0
Fight Club,1999,93/100,0,0,1,0,2959.0,Action|Crime|Drama|Thriller,111764.0,4.0
Ghost,2020,45/100,0,0,1,0,587.0,Comedy|Drama|Fantasy|Romance|Thriller,114031.0,2.5
That Darn Cat!,1965,76/100,0,0,0,1,1018.0,Children|Comedy|Mystery,126374.0,3.0
Monty Python and the Holy Grail,1975,84/100,1,0,0,0,1136.0,Adventure|Comedy|Fantasy,123050.0,5.0
E.T. the Extra-Terrestrial,1982,83/100,0,0,1,0,1097.0,Children|Drama|Sci-Fi,96746.0,3.5
Mad Max,1979,76/100,1,0,0,0,3702.0,Action|Adventure|Sci-Fi,87083.0,3.0
Remember Me,2010,74/100,1,0,0,0,75341.0,Drama|Romance,63903.0,4.0
Home Alone,1990,82/100,0,0,0,1,586.0,Children|Comedy,61047.0,3.0
Terminator 2: Judgment Day,1991,89/100,1,0,0,0,589.0,Action|Sci-Fi,56071.0,4.0
Crimson Tide,1995,76/100,0,0,1,0,161.0,Drama|Thriller|War,110687.0,3.0
Peeping Tom,1960,71/100,0,0,1,0,2488.0,Drama|Horror|Thriller,118947.0,4.5
High Noon,1952,75/100,0,0,1,0,1283.0,Drama|Western,90998.0,3.5
Boogie Nights,1997,81/100,1,0,0,0,1673.0,Drama,126304.0,3.0
Homeward Bound II: Lost in San Francisco,1996,62/100,0,0,0,1,609.0,Adventure|Children,46770.0,3.0
Payback,2007,30/100,0,0,1,0,2490.0,Action|Thriller,111523.0,4.0
Dangerous Minds,1995,69/100,0,1,0,0,31.0,Drama,96952.0,2.0
Shutter Island,2010,88/100,1,0,0,0,74458.0,Drama|Mystery|Thriller,89182.0,3.5
Beetlejuice,1988,81/100,0,1,0,0,2174.0,Comedy|Fantasy,49756.0,3.0
Meet John Doe,1941,64/100,0,0,1,0,973.0,Comedy|Drama,102993.0,5.0
Ghost,2020,45/100,0,0,1,0,587.0,Comedy|Drama|Fantasy|Romance|Thriller,22796.0,3.0
Fight Club,1999,93/100,0,0,1,0,2959.0,Action|Crime|Drama|Thriller,87226.0,3.0
Invasion of the Body Snatchers,1956,73/100,0,0,1,0,2664.0,Horror|Sci-Fi|Thriller,92718.0,2.0
Austin Powers: The Spy Who Shagged Me,1999,76/100,1,0,0,0,2683.0,Action|Adventure|Comedy,130562.0,4.0
Terminator 2: Judgment Day,1991,89/100,1,0,0,0,589.0,Action|Sci-Fi,102565.0,4.0
WALL·E,2008,88/100,0,0,0,1,60069.0,Adventure|Animation|Children|Romance|Sci-Fi,106989.0,3.5
Casino Royale,2006,85/100,1,0,0,0,49272.0,Action|Adventure|Thriller,1690.0,3.5
Drive,2019,50/100,1,0,0,0,88129.0,Crime|Drama|Film-Noir|Thriller,15175.0,4.5
Alien,1979,88/100,0,0,1,0,1214.0,Horror|Sci-Fi,90997.0,4.0
Austin Powers: The Spy Who Shagged Me,1999,76/100,1,0,0,0,2683.0,Action|Adventure|Comedy,2056.0,4.5
Snow White and the Seven Dwarfs,1937,78/100,0,0,0,1,594.0,Animation|Children|Drama|Fantasy|Musical,136712.0,3.0
"Honey, I Shrunk the Kids",1989,72/100,0,0,0,1,2054.0,Adventure|Children|Comedy|Fantasy|Sci-Fi,53716.0,2.0
Homeward Bound: The Incredible Journey,1993,70/100,0,0,0,1,1015.0,Adventure|Children|Drama,109712.0,5.0
Much Ado About Nothing,2016,49/100,1,0,0,0,497.0,Comedy|Romance,9979.0,5.0
Taxi Driver,2015,41/100,1,0,0,0,111.0,Crime|Drama|Thriller,122592.0,4.0
Boogie Nights,1997,81/100,1,0,0,0,1673.0,Drama,92223.0,4.0
Old Yeller,1957,65/100,0,0,0,1,1012.0,Children|Drama,118120.0,0.5
Hollow Man,2000,68/100,0,1,0,0,3826.0,Horror|Sci-Fi|Thriller,26198.0,3.0
Fight Club,1999,93/100,0,0,1,0,2959.0,Action|Crime|Drama|Thriller,33259.0,4.5
Dances with Wolves,1990,80/100,1,0,0,0,590.0,Adventure|Drama|Western,55803.0,3.0
Pirates of the Caribbean: The Curse of the Black Pearl,2003,86/100,0,0,0,1,6539.0,Action|Adventure|Comedy|Fantasy,1958.0,5.0
Weekend at Bernie's,1989,71/100,0,1,0,0,1091.0,Comedy,94628.0,3.5
Chinatown,1974,82/100,1,0,0,0,1252.0,Crime|Film-Noir|Mystery|Thriller,61115.0,5.0
Rear Window,1954,85/100,0,0,1,0,904.0,Mystery|Thriller,16951.0,5.0
"Honey, I Shrunk the Kids",1989,72/100,0,0,0,1,2054.0,Adventure|Children|Comedy|Fantasy|Sci-Fi,66758.0,1.0
Crazy People,2018,30/100,1,0,0,0,7119.0,Comedy,8805.0,3.0
Ghost,2020,45/100,0,0,1,0,587.0,Comedy|Drama|Fantasy|Romance|Thriller,56722.0,3.5
Star Trek: Generations,1994,71/100,0,1,0,0,329.0,Adventure|Drama|Sci-Fi,48959.0,4.0
Rebecca,2020,60/100,1,0,0,0,928.0,Drama|Mystery|Romance|Thriller,123601.0,4.0
Cashback,2006,77/100,0,1,0,0,53318.0,Comedy|Drama|Romance,110686.0,0.5
Frankenstein,2004,49/100,0,0,1,0,2648.0,Drama|Horror|Sci-Fi,84664.0,4.5
Children of the Corn,1984,66/100,0,1,1,0,2122.0,Horror|Thriller,49270.0,3.0
Mr. Holland's Opus,1995,69/100,0,0,0,1,62.0,Drama,63583.0,5.0
Hellboy,2004,78/100,0,0,1,0,7373.0,Action|Adventure|Fantasy|Horror,66201.0,3.0
Home Alone,1990,82/100,0,0,0,1,586.0,Children|Comedy,109108.0,3.0
Toy Story 2,1999,84/100,0,0,0,1,3114.0,Adventure|Animation|Children|Comedy|Fantasy,83202.0,2.0
Spun,2002,67/100,0,0,1,0,6223.0,Comedy|Crime|Drama,43317.0,4.0
Monty Python and the Holy Grail,1975,84/100,1,0,0,0,1136.0,Adventure|Comedy|Fantasy,31203.0,5.0
Unbreakable,2000,82/100,0,0,1,0,3994.0,Drama|Sci-Fi,101392.0,4.0
Star Wars: Episode II - Attack of the Clones,2002,78/100,0,0,0,1,5378.0,Action|Adventure|Sci-Fi|IMAX,66458.0,2.0
Monty Python and the Holy Grail,1975,84/100,1,0,0,0,1136.0,Adventure|Comedy|Fantasy,47938.0,5.0
Ali,2001,72/100,0,0,1,0,5009.0,Drama,118534.0,4.0
Jeffrey,1995,61/100,0,0,1,0,171.0,Comedy|Drama,62217.0,3.5
Black and White,1999,54/100,0,1,0,0,3509.0,Drama,67999.0,4.0
Hollow Man,2000,68/100,0,1,0,0,3826.0,Horror|Sci-Fi|Thriller,90303.0,2.5
Sky Captain and the World of Tomorrow,2004,68/100,0,0,1,0,8865.0,Action|Adventure|Sci-Fi,32973.0,3.5
Unbreakable,2000,82/100,0,0,1,0,3994.0,Drama|Sci-Fi,72226.0,3.5
Jade,1995,59/100,0,0,1,0,132.0,Thriller,110909.0,1.0
What's Eating Gilbert Grape,1993,78/100,1,0,0,0,337.0,Drama,16232.0,4.0
Midnight,1934,47/100,0,0,1,0,7578.0,Comedy|Romance,34999.0,4.0
Slumdog Millionaire,2008,85/100,0,1,0,0,63082.0,Crime|Drama|Romance,15486.0,3.5
E.T. the Extra-Terrestrial,1982,83/100,0,0,1,0,1097.0,Children|Drama|Sci-Fi,10502.0,3.0
Rain Man,1988,83/100,1,0,0,0,1961.0,Drama,45135.0,3.0
